index,name,photons,coefficient,psf_size,wf_length,requested_rms,phase_rms_error,wf_l2_error,volume_relative_l2,lf_relative_l2,noisy_lf_relative_l2,sensor_fit_relative_l2,standardized_residual_rms,relative_quasi_deviance,forward_relative_l2,forward_validation_s,solve_s,optics_setup_s,projection_setup_s,standalone_setup_and_solve_s,steps,peak_allocated_bytes,evaluation_s,save_s,case_wall_s
8,rms1_len21_08,300,2.0052830837591835,225,21,1.0,0.0013588638976216316,0.001358581823296845,0.614483654499054,0.02438763901591301,0.27819010615348816,0.03282388299703598,0.9892224925567851,0.16152129090963857,5.718966349377297e-06,0.7730753812938929,194.7538872398436,5.737593125551939,0.02683274634182453,200.51831311173737,2300,5955400192,0.7791523076593876,2.140381759032607,198.65732246637344
9,rms1_len21_09,300,1.5041781706877442,225,21,1.0,0.0025493053253740072,0.0025481402408331633,0.6649357676506042,0.03158462792634964,0.3396914601325989,0.03182470053434372,0.9858463027802692,0.20528664677974412,5.45445482202922e-06,0.7794978078454733,194.609881805256,5.987499626353383,0.027314815670251846,200.62469624727964,2300,5955400192,0.7785717248916626,2.1154710110276937,198.33775429800153
0,rms1_len21_shared,1000,5.539174428379614,225,21,1.0,0.0011261245235800743,0.0011255581630393863,0.5666285157203674,0.012432136572897434,0.12303873896598816,0.036958642303943634,0.9900887641042768,0.06761772486818866,5.626581696560606e-06,0.7781359795480967,194.88747347146273,5.996712405234575,0.026977211236953735,200.91116308793426,2300,5955400192,0.778430512174964,2.332543356344104,198.83071072399616
1,rms1_len21_01,1000,5.829866912756508,225,21,1.0,0.0012790235923603177,0.0012783354613929987,0.5498902201652527,0.011817596852779388,0.1186930388212204,0.0371832475066185,0.9895838309587146,0.06461086065201653,5.649945705954451e-06,0.7739962823688984,194.73459209874272,5.978677215054631,0.026681460440158844,200.7399507742375,2300,5955400192,0.7783247567713261,2.046775493770838,198.67897495813668
2,rms1_len21_02,1000,4.583609859936784,225,21,1.0,0.0009443737799301744,0.00094409758457914,0.5998652577400208,0.013149735517799854,0.13969971239566803,0.03612443804740906,0.9885179360102354,0.07919055070779618,5.568339474848472e-06,0.7790116537362337,195.25798757001758,5.705814689397812,0.026713930070400238,200.9905161894858,2300,5955400192,0.780005931854248,1.7093990985304117,198.58081414736807
3,rms1_len21_03,1000,5.2334271745003305,225,21,1.0,0.0011635762639343739,0.0011633307440206409,0.5720149874687195,0.012330492958426476,0.12901589274406433,0.036804597824811935,0.9903164506982319,0.07104453679948196,5.639027676807018e-06,0.7747020535171032,194.4355440530926,6.046737261116505,0.02682047337293625,200.50910178758204,2300,5955400192,0.7777200601994991,1.7377230990678072,197.88122352585196
4,rms1_len21_04,1000,5.675779415045527,225,21,1.0,0.0010702010476961732,0.0010697119869291782,0.5852850675582886,0.011793282814323902,0.1194138452410698,0.03705506771802902,0.9889270150049627,0.06603213720390728,5.565919309447054e-06,0.7789300568401814,194.60948667116463,6.026804614812136,0.02684294618666172,200.66313423216343,2300,5955400192,0.7780847437679768,2.160780567675829,198.38152628578246
5,rms1_len21_05,1000,5.60844902713486,225,21,1.0,0.0007647007587365806,0.0007643488934263587,0.5964460968971252,0.011884277686476707,0.1224171370267868,0.03704163432121277,0.9891665124466468,0.06674667765591989,5.6598014452902135e-06,0.778778700158,195.16768416948617,6.0195521507412195,0.028266917914152145,201.21550323814154,2300,5955400192,0.7801679838448763,1.8358666989952326,198.6175241805613
6,rms1_len21_06,1000,5.328441123636323,225,21,1.0,0.0011559230042621493,0.0011554706143215299,0.5924892425537109,0.011904008686542511,0.12447034567594528,0.03677968308329582,0.98857072107002,0.0697269359082369,5.556459200306563e-06,0.778358606621623,194.7837851922959,5.737593125551939,0.02683274634182453,200.54821106418967,2300,5955400192,0.7789998296648264,2.027478715404868,198.42071754299104
7,rms1_len21_07,1000,4.878262285798165,225,21,1.0,0.0010206406004726887,0.0010202928679063916,0.5833113193511963,0.012730799615383148,0.13570275902748108,0.03650029003620148,0.989575265783395,0.07531892598307073,5.625062385661295e-06,0.7750035766512156,194.64807852730155,5.987499626353383,0.027314815670251846,200.66289296932518,2300,5955400192,0.7784976996481419,2.263028174638748,198.6112982481718
8,rms1_len21_08,1000,6.684276945863946,225,21,1.0,0.0015528025105595589,0.001552267582155764,0.5499371290206909,0.010174348019063473,0.10950040072202682,0.03778444230556488,0.991106942534214,0.057594126558979684,5.718966349377297e-06,0.7756475191563368,194.69134830869734,5.996712405234575,0.026977211236953735,200.71503792516887,2300,5955400192,0.7782794255763292,1.95278793387115,198.25549256429076
9,rms1_len21_09,1000,5.013927235625814,225,21,1.0,0.0010737747652456164,0.0010732363443821669,0.6129403710365295,0.012991685420274734,0.12849381566047668,0.036475591361522675,0.9885962825184512,0.07342462536686564,5.45445482202922e-06,0.7768215797841549,194.62429145164788,5.978677215054631,0.026681460440158844,200.62965012714267,2300,5955400192,0.7777777072042227,1.9660775605589151,198.2862160280347
